BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Coliseum Medical Center,GA,BDC+,9,Coliseum Medical Center | 350 Hospital Dr | Macon | GA | 31217-3838 | BDC+ | No | Hospital,COLISEUM MED CTR
Macon Northside Hospital,GA,BDC+,9,Macon Northside Hospital | 400 Charter Blvd | Macon | GA | 31210-4831 | BDC+ | No | Hospital,MACON NORTHSIDE HOSPITAL
Northside Hospital,GA,BDC,9,Northside Hospital | 1000 Johnson Ferry Rd | Atlanta | GA | 30342-1606 | BDC | No | Hospital,NORTHSIDE HOSPITAL
Northside Hospital Cherokee,GA,BDC,9,Northside Hospital Cherokee | 450 Northside Cherokee Blvd | Canton | GA | 30115-8015 | BDC | No | Hospital,NORTHSIDE HOSPITAL CHEROKEE
Northside Hospital Forsyth,GA,BDC,9,Northside Hospital Forsyth | 1200 Northside Forsyth Dr | Cumming | GA | 30041-7659 | BDC | No | Hospital,NORTHSIDE HOSPITAL FORSYTH
Piedmont Fayette Hospital,GA,BDC,9,Piedmont Fayette Hospital | 1255 Highway 54 W | Fayetteville | GA | 30214-4526 | BDC | Yes | Hospital,PIEDMONT FAYETTE HOSPITAL
Piedmont Henry Hospital,GA,BDC,9,Piedmont Henry Hospital | 1133 Eagles Landing Pkwy | Stockbridge | GA | 30281-5085 | BDC | Yes | Hospital,PIEDMONT HENRY HOSPITAL
Piedmont Hospital,GA,BDC,9,Piedmont Hospital | 1968 Peachtree Rd Nw | Atlanta | GA | 30309-1281 | BDC | Yes | Hospital,PIEDMONT HOSPITAL
Piedmont Rockdale Hospital,GA,BDC,9,Piedmont Rockdale Hospital | 1412 Milstead Ave Ne | Conyers | GA | 30012-3877 | BDC | Yes | Hospital,PIEDMONT ROCKDALE HOSPITAL
Tift Regional Medical Center,GA,BDC,9,Tift Regional Medical Center | 901 18th St E | Tifton | GA | 31794-3648 | BDC | Yes | Hospital,TIFT REGIONAL MED CTR
Kuakini Medicalctr,HI,BDC,9,Kuakini Medicalctr | 347 N Kuakini St | Honolulu | HI | 96817 | BDC | Yes | Hospital,KUAKINI MEDICALCTR
Queen's Medical Center,HI,BDC,9,Queen's Medical Center | 1301 Punchbowl St | Honolulu | HI | 96813 | BDC | No | Hospital,QUEEN S MED CTR
Iowa Methodist Medical Center,IA,BDC+,9,Iowa Methodist Medical Center | 1200 PLEASANT ST | DES MOINES | IA | 50309-1406 | BDC+ | No | Hospital,IOWA METHODIST MED CTR
Mercy Medical Center,IA,BDC+,9,Mercy Medical Center | 701 10Th St SE | Cedar Rapids | IA | 52403-1251 | BDC+ | Yes | Hospital,MERCY MED CTR
MercyOne Des Moines Medical Center,IA,BDC,9,MercyOne Des Moines Medical Center | 1111 6TH AVE | DES MOINES | IA | 50314-2613 | BDC | No | Hospital,MERCYONE DES MOINES MED CTR
MercyOne North Iowa Medical Center,IA,BDC+,9,MercyOne North Iowa Medical Center | 1000 4Th St SW | Mason City | IA | 50401-2800 | BDC+ | No | Hospital,MERCYONE NORTH IOWA MED CTR
Methodist West Hospital,IA,BDC,9,Methodist West Hospital | 1660 60TH ST | WEST DES MOINES | IA | 50266-7700 | BDC | Yes | Hospital,METHODIST WEST HOSPITAL
University of Iowa Health Care,IA,BDC+,9,University of Iowa Health Care | 200 Hawkins Dr | Iowa City | IA | 52242-1009 | BDC+ | Yes | Hospital,UNIVERSITY IOWA HEALTH CARE
University of Iowa Health Care Medical Center Hosp,IA,BDC+,9,University of Iowa Health Care Medical Center Hosp | 500 E MARKET ST | IOWA CITY | IA | 52245-2633 | BDC+ | Yes | Hospital,UNIVERSITY IOWA HEALTH CARE MED CTR HOSP
Northwest Specialty Hospital,ID,BDC+,9,Northwest Specialty Hospital | 1593 E Polston Ave | Post Falls | ID | 83854-5326 | BDC+ | Yes | Hospital,NORTHWEST SPECIALTY HOSPITAL
ST LUKES REGIONAL MEDICAL CENTER,ID,BDC,9,ST LUKES REGIONAL MEDICAL CENTER | 190 E Bannock St | Boise | ID | 83712-6241 | BDC | No | Hospital,ST LUKES REGIONAL MED CTR
TREASURE VALLEY HOSPITAL,ID,BDC+,9,TREASURE VALLEY HOSPITAL | 8800 W Emerald St | Boise | ID | 83704-8205 | BDC+ | No | Hospital,TREASURE VALLEY HOSPITAL
Advocate Christ Hosp Med Cntr,IL,BDC+,10,Advocate Christ Hosp Med Cntr | 4440 W 95th St | Oak Lawn | IL | 60453 | BDC+ | No | Hospital,ADVOCATE CHRIST HOSP MED CNTR
ADVOCATE CONDELL MEDICAL CENTER,IL,BDC+,10,ADVOCATE CONDELL MEDICAL CENTER | 801 S Milwaukee Ave | Libertyville | IL | 60048 | BDC+ | No | Hospital,ADVOCATE CONDELL MED CTR
ADVOCATE GOOD SAMARITAN HOSPITAL,IL,BDC+,10,ADVOCATE GOOD SAMARITAN HOSPITAL | 3815 Highland Ave | Downers Grove | IL | 60515 | BDC+ | No | Hospital,ADVOCATE GOOD SAMARITAN HOSPITAL
ADVOCATE GOOD SHEPHERD HOSPITAL,IL,BDC+,10,ADVOCATE GOOD SHEPHERD HOSPITAL | 450 W Il Hwy 22 | Barrington | IL | 60010 | BDC+ | No | Hospital,ADVOCATE GOOD SHEPHERD HOSPITAL
ADVOCATE ILLINOIS MASONIC MED CNT,IL,BDC,10,ADVOCATE ILLINOIS MASONIC MED CNT | 836 W Wellington Ave | Chicago | IL | 60657 | BDC | No | Hospital,ADVOCATE ILLINOIS MASONIC MED CNT
ADVOCATE LUTHERAN GENERAL HOSP,IL,BDC+,10,ADVOCATE LUTHERAN GENERAL HOSP | 1775 Dempster St | Park Ridge | IL | 60068 | BDC+ | No | Hospital,ADVOCATE LUTHERAN GENERAL HOSP
ADVOCATE SHERMAN HOSPITAL,IL,BDC+,10,ADVOCATE SHERMAN HOSPITAL | 1425 N Randall Rd | Elgin | IL | 60123 | BDC+ | No | Hospital,ADVOCATE SHERMAN HOSPITAL
ADVOCATE SOUTH SUBURBAN HOSPITAL,IL,BDC+,10,ADVOCATE SOUTH SUBURBAN HOSPITAL | 17800 Kedzie Ave | Hazel Crest | IL | 60429 | BDC+ | No | Hospital,ADVOCATE SOUTH SUBURBAN HOSPITAL
ALEXIAN BROTHERS MEDICAL CENTER,IL,BDC+,10,ALEXIAN BROTHERS MEDICAL CENTER | 800 Biesterfield Rd | Elk Grove Village | IL | 60007 | BDC+ | No | Hospital,ALEXIAN BROTHERS MED CTR
Blessing Hospital,IL,BDC,10,Blessing Hospital | 1005 BROADWAY ST | QUINCY | IL | 62301-2834 | BDC | No | Hospital,BLESSING HOSPITAL
Carle Foundation Hosp,IL,BDC,10,Carle Foundation Hosp | 611 W PARK ST | URBANA | IL | 61801-2500 | BDC | No | Hospital,CARLE FOUNDATION HOSP
CARLE BROMENN MEDICAL CENTER,IL,BDC+,10,CARLE BROMENN MEDICAL CENTER | 1304 FRANKLIN AVE | NORMAL | IL | 61761-3558 | BDC+ | No | Hospital,CARLE BROMENN MED CTR
CARLE HEALTH METHODIST HOSPITAL,IL,BDC,10,CARLE HEALTH METHODIST HOSPITAL | 221 NE Glen Oak Ave | Peoria | IL | 61636 | BDC | No | Hospital,CARLE HEALTH METHODIST HOSPITAL
CENTRAL DUPAGE HOSPITAL,IL,BDC,10,CENTRAL DUPAGE HOSPITAL | 25 N WINFIELD RD | WINFIELD | IL | 60190-1379 | BDC | Yes | Hospital,CENTRAL DUPAGE HOSPITAL
Copley Memorial Hospital,IL,BDC+,10,Copley Memorial Hospital | 2000 OGDEN AVE | AURORA | IL | 60504-7222 | BDC+ | No | Hospital,COPLEY MEMORIAL HOSPITAL
EDWARD HOSPITAL,IL,BDC+,10,EDWARD HOSPITAL | 801 S Washington St | Naperville | IL | 60540-7430 | BDC+ | No | Hospital,EDWARD HOSPITAL
Endeavor Health Elmhurst Hospital,IL,BDC+,10,Endeavor Health Elmhurst Hospital | 155 E Brush Hill Rd | Elmhurst | IL | 60126 | BDC+ | No | Hospital,ENDEAVOR HEALTH ELMHURST HOSPITAL
INGALLS MEMORIAL HOSPITAL,IL,BDC+,10,INGALLS MEMORIAL HOSPITAL | 1 Ingalls Dr | Harvey | IL | 60426 | BDC+ | No | Hospital,INGALLS MEMORIAL HOSPITAL
INSIGHT HOSPITAL MEDICAL CTR CHI,IL,BDC,10,INSIGHT HOSPITAL MEDICAL CTR CHI | 2525 S Michigan Ave | Chicago | IL | 60616 | BDC | No | Hospital,INSIGHT HOSPITAL MEDICAL CTR CHI
Loyola University Medical Center,IL,BDC+,10,Loyola University Medical Center | 2160 S 1ST AVE | MAYWOOD | IL | 60153-3328 | BDC+ | No | Hospital,LOYOLA UNIVERSITY MED CTR
Northshore Evanston Hospital,IL,BDC+,11,Northshore Evanston Hospital | 2650 RIDGE AVE | EVANSTON | IL | 60201-1718 | BDC+ | Yes | Hospital,NORTHSHORE EVANSTON HOSPITAL
Northshore Skokie Hospital,IL,BDC,11,Northshore Skokie Hospital | 9600 Gross Point Rd | Skokie | IL | 60076 | BDC | No | Hospital,NORTHSHORE SKOKIE HOSPITAL
NORTHWESTERN MEMORIAL HOSPITAL,IL,BDC,11,NORTHWESTERN MEMORIAL HOSPITAL | 251 E HURON | CHICAGO | IL | 60611-2908 | BDC | Yes | Hospital,NORTHWESTERN MEMORIAL HOSPITAL
PALOS COMMUNITY HOSPITAL,IL,BDC+,11,PALOS COMMUNITY HOSPITAL | 12251 S 80Th Ave | Palos Heights | IL | 60463-1290 | BDC+ | No | Hospital,PALOS COMMUNITY HOSPITAL
Presence St Marys Hospital,IL,BDC,11,Presence St Marys Hospital | 500 W Court St | Kankakee | IL | 60901 | BDC | Yes | Hospital,PRESENCE ST MARYS HOSPITAL
PRESENCE ST JOSEPH HOSP ELGIN,IL,BDC+,11,PRESENCE ST JOSEPH HOSP ELGIN | 77 N Airlite St | Elgin | IL | 60123 | BDC+ | Yes | Hospital,PRESENCE ST JOSEPH HOSP ELGIN
RIVERSIDE MEDICAL CENTER,IL,BDC,11,RIVERSIDE MEDICAL CENTER | 350 N Wall St | Kankakee | IL | 60901-2901 | BDC | No | Hospital,RIVERSIDE MED CTR
RUSH UNIVERSITY MEDICAL CENTER,IL,BDC+,11,RUSH UNIVERSITY MEDICAL CENTER | 1653 W Congress Pkwy | Chicago | IL | 60612-3833 | BDC+ | No | Hospital,RUSH UNIVERSITY MED CTR
Saint Anthony Medical Center,IL,BDC,11,Saint Anthony Medical Center | 5666 E STATE ST | ROCKFORD | IL | 61108-2425 | BDC | No | Hospital,ST ANTHONY MED CTR
St Alexius Medical Center,IL,BDC+,11,St Alexius Medical Center | 1555 Barrington Rd | Hoffman Estates | IL | 60169 | BDC+ | No | Hospital,ST ALEXIUS MED CTR
SWEDISH COVENANT HOSPITAL,IL,BDC,11,SWEDISH COVENANT HOSPITAL | 5145 N California Ave | Chicago | IL | 60625 | BDC | No | Hospital,SWEDISH COVENANT HOSPITAL
UCM ADVENTHEALTH HINSDALE,IL,BDC,11,UCM ADVENTHEALTH HINSDALE | 120 N Oak St | Hinsdale | IL | 60521 | BDC | No | Hospital,UCM ADVENTHEALTH HINSDALE
UNIVERSITY OF CHICAGO MEDICAL CEN,IL,BDC,11,UNIVERSITY OF CHICAGO MEDICAL CEN | 5841 S MARYLAND AVE | CHICAGO | IL | 60637-1447 | BDC | Yes | Hospital,UNIVERSITY CHICAGO MEDICAL CEN
Ascension St Vincent Hospital,IN,BDC,11,Ascension St Vincent Hospital | 2001 W 86th St | Indianapolis | IN | 46260-1902 | BDC | No | Hospital,ASCENSION ST VINCENT HOSPITAL
Ascension St Vincent Kokomo,IN,BDC,11,Ascension St Vincent Kokomo | 1907 W Sycamore St | Kokomo | IN | 46901-5148 | BDC | No | Hospital,ASCENSION ST VINCENT KOKOMO
Baptist Health Floyd,IN,BDC,11,Baptist Health Floyd | 1850 State St | New Albany | IN | 47150-4990 | BDC | No | Hospital,BAPTIST HEALTH FLOYD
Community Hospital,IN,BDC+,12,Community Hospital | 901 Macarthur Blvd | Munster | IN | 46321-2901 | BDC+ | No | Hospital,COMMUNITY HOSPITAL
Community Hospital of Anderson,IN,BDC,12,Community Hospital of Anderson | 1515 N Madison Ave | Anderson | IN | 46011-3453 | BDC | No | Hospital,COMMUNITY HOSPITAL ANDERSON
Community Hospital South,IN,BDC,12,Community Hospital South | 1402 E County Line Rd | Indianapolis | IN | 46227-0963 | BDC | Yes | Hospital,COMMUNITY HOSPITAL SOUTH
Community Hospitals North,IN,BDC,12,Community Hospitals North | 7150 Clearvista Dr | Indianapolis | IN | 46256-1695 | BDC | Yes | Hospital,COMMUNITY HOSPITALS NORTH
Dupont Hospital,IN,BDC,12,Dupont Hospital | 2520 E Dupont Rd | Fort Wayne | IN | 46825-1675 | BDC | No | Hospital,DUPONT HOSPITAL
Franciscan Health Indianapolis,IN,BDC+,12,Franciscan Health Indianapolis | 8111 S Emerson Ave | Indianapolis | IN | 46237-8601 | BDC+ | No | Hospital,FRANCISCAN HEALTH INDIANAPOLIS
Franciscan Health Indianapolis Orthopedic Hospital,IN,BDC,12,Franciscan Health Indianapolis Orthopedic Hospital | 10777 Illinois St | Carmel | IN | 46032-8972 | BDC | No | Hospital,FRANCISCAN HEALTH INDIANAPOLIS ORTHOPEDIC HOSPITAL
Franciscan Health Lafayette,IN,BDC+,12,Franciscan Health Lafayette | 1701 S Creasy Ln | La Fayette | IN | 47905 | BDC+ | No | Hospital,FRANCISCAN HEALTH LAFAYETTE
Franciscan Health Michigan City,IN,BDC,12,Franciscan Health Michigan City | 3500 Franciscan Way | Michigan City | IN | 46360-0033 | BDC | Yes | Hospital,FRANCISCAN HEALTH MICHIGAN CITY
Indiana University Health Arnett Hospital,IN,BDC,12,Indiana University Health Arnett Hospital | 5165 McCarty Ln | La Fayette | IN | 47905 | BDC | Yes | Hospital,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL
Indiana University Health Ball Memorial Hospital,IN,BDC,12,Indiana University Health Ball Memorial Hospital | 2401 W University Ave | Muncie | IN | 47303-3428 | BDC | Yes | Hospital,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL
Indiana University Health Bloomington Hospital,IN,BDC,12,Indiana University Health Bloomington Hospital | 2651 E Discovery Pkwy | Bloomington | IN | 47408-9059 | BDC | Yes | Hospital,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL
Indiana University Health North Hospital,IN,BDC,12,Indiana University Health North Hospital | 11700 N Meridian St | Carmel | IN | 46032-4656 | BDC | Yes | Hospital,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL
Lutheran Hospital of Indiana,IN,BDC+,12,Lutheran Hospital of Indiana | 7950 W Jefferson Blvd | Fort Wayne | IN | 46804-4140 | BDC+ | No | Hospital,LUTHERAN HOSPITAL INDIANA
Orthoindy Hospital,IN,BDC,12,Orthoindy Hospital | 1260 Innovation Pkwy | Greenwood | IN | 46143-3604 | BDC | Yes | Hospital,ORTHOINDY HOSPITAL
Orthoindy Hospital,IN,BDC+,13,Orthoindy Hospital | 8400 Northwest Blvd | Indianapolis | IN | 46278-1381 | BDC+ | Yes | Hospital,ORTHOINDY HOSPITAL
Schneck Medical Center,IN,BDC,13,Schneck Medical Center | 411 W Tipton St | Seymour | IN | 47274-2363 | BDC | Yes | Hospital,SCHNECK MED CTR
St Mary Medical Center Hobart,IN,BDC,13,St Mary Medical Center Hobart | 1500 S Lake Park Ave | Hobart | IN | 46342-6638 | BDC | No | Hospital,ST MARY MED CTR HOBART
St Vincent Carmel Hospital,IN,BDC,13,St Vincent Carmel Hospital | 13500 N Meridian St | Carmel | IN | 46032-1456 | BDC | Yes | Hospital,ST VINCENT CARMEL HOSPITAL
The Orthopaedic Hospital,IN,BDC+,13,The Orthopaedic Hospital | 7952 W Jefferson Blvd | Fort Wayne | IN | 46804-4140 | BDC+ | No | Hospital,ORTHOPAEDIC HOSPITAL
Labette County Medical Center Cah,KS,BDC,13,Labette County Medical Center Cah | 1902 S US Highway 59 | Parsons | KS | 67357 | BDC | No | Hospital,LABETTE COUNTY MED CTR CAH
NMC Health,KS,BDC,13,NMC Health | 600 Medical Center Dr | Newton | KS | 67114 | BDC | No | Hospital,NMC HEALTH
SALINA REGIONAL HEALTH CENTER,KS,BDC+,13,SALINA REGIONAL HEALTH CENTER | 400 S Santa Fe Ave | Salina | KS | 67401 | BDC+ | Yes | Hospital,SALINA REGIONAL HEALTH CENTER
University of Kansas Health System St Francis Hptl,KS,BDC,13,University of Kansas Health System St Francis Hptl | 1700 SW 7th St | Topeka | KS | 66606 | BDC | No | Hospital,UNIVERSITY KANSAS ST FRANCIS HPTL
Baptist Health Lexington,KY,BDC,13,Baptist Health Lexington | 1740 Nicholasville Rd | Lexington | KY | 40503-1431 | BDC | Yes | Hospital,BAPTIST HEALTH LEXINGTON
Norton Audubon Hospital,KY,BDC,13,Norton Audubon Hospital | 1 Audubon Plaza Dr | Louisville | KY | 40217-1318 | BDC | Yes | Hospital,NORTON AUDUBON HOSPITAL
Norton Brownsboro Hospital,KY,BDC,13,Norton Brownsboro Hospital | 4960 Norton Healthcare Blvd | Louisville | KY | 40241-2831 | BDC | Yes | Hospital,NORTON BROWNSBORO HOSPITAL
Norton Womens And Childrens Hospital,KY,BDC,13,Norton Womens And Childrens Hospital | 4001 Dutchmans Ln | Louisville | KY | 40207-4714 | BDC | Yes | Hospital,NORTON WOMENS AND CHILDRENS HOSPITAL
Saint Joseph Health System,KY,BDC+,13,Saint Joseph Health System | 1 Saint Joseph Dr | Lexington | KY | 40504-3742 | BDC+ | No | Hospital,ST JOSEPH
Saint Joseph London,KY,BDC,13,Saint Joseph London | 1001 Saint Joseph Ln | London | KY | 40741-8345 | BDC | Yes | Hospital,ST JOSEPH LONDON
St Elizabeth Healthcare,KY,BDC,13,St Elizabeth Healthcare | 4900 Houston Rd | Florence | KY | 41042-4824 | BDC | Yes | Hospital,ST ELIZABETH HEALTHCARE
Avala,LA,BDC+,13,Avala | 67252 Industry Ln | Covington | LA | 70433 | BDC+ | No | Hospital,AVALA
Baton Rouge General Medical Center,LA,BDC,13,Baton Rouge General Medical Center | 8585 Picardy Avenue | Baton Rouge | LA | 70809 | BDC | No | Hospital,BATON ROUGE GENERAL MED CTR
Lafayette General Medical Center,LA,BDC,13,Lafayette General Medical Center | 1214 Coolidge Boulevard | Lafayette | LA | 70503 | BDC | No | Hospital,LAFAYETTE GENERAL MED CTR
Lafayette Surgical Specialty Hospital,LA,BDC+,14,Lafayette Surgical Specialty Hospital | 1101 Kaliste Saloom Rd | Lafayette | LA | 70508 | BDC+ | No | Hospital,LAFAYETTE SURGICAL SPECIALTY HOSPITAL
Ochsner Medical Center,LA,BDC,14,Ochsner Medical Center | 1221 South Clearview Parkway | Jefferson | LA | 70121 | BDC | No | Hospital,OCHSNER MED CTR
Our Lady of Lourdes Regional Medical Center,LA,BDC,14,Our Lady of Lourdes Regional Medical Center | 4801 Ambassador Caffery Parkway | Lafayette | LA | 70508 | BDC | Yes | Hospital,OUR LADY LOURDES REGIONAL MED CTR
Park Place Surgical Hospital,LA,BDC+,14,Park Place Surgical Hospital | 4811 Ambassador Caffery Pkwy | Lafayette | LA | 70508 | BDC+ | No | Hospital,PARK PLACE SURGICAL HOSPITAL
Thibodaux Regional Health System,LA,BDC+,14,Thibodaux Regional Health System | 602 North Acadia Road | Thibodaux | LA | 70301 | BDC+ | Yes | Hospital,THIBODAUX REGIONAL
Willis-Knighton Bossier Health Center,LA,BDC,14,Willis-Knighton Bossier Health Center | 2400 Hospital Drive | Bossier City | LA | 71111 | BDC | No | Hospital,WILLIS KNIGHTON BOSSIER HEALTH CENTER
Boston Medical Center,MA,BDC,14,Boston Medical Center | One Boston Medical Center Place | Boston | MA | 2118 | BDC | No | Hospital,BOSTON MED CTR
Brown University Health Saint Anne's Hospital,MA,BDC,14,Brown University Health Saint Anne's Hospital | 795 Middle Street | Fall River | MA | 02721 | BDC | Yes | Hospital,BROWN UNIVERSITY HEALTH ST ANNE S HOSPITAL
Cape Cod Hospital,MA,BDC,14,Cape Cod Hospital | 27 Park Street | Hyannis | MA | 2601 | BDC | No | Hospital,CAPE COD HOSPITAL
Charlton Memorial Hospital,MA,BDC,14,Charlton Memorial Hospital | 363 Highland Ave | Fall River | MA | 02720 | BDC | No | Hospital,CHARLTON MEMORIAL HOSPITAL
Lowell General Hospital,MA,BDC+,14,Lowell General Hospital | 295 Varnum Avenue | Lowell | MA | 1854 | BDC+ | No | Hospital,LOWELL GENERAL HOSPITAL
Mount Auburn Hospital,MA,BDC+,14,Mount Auburn Hospital | 330 Mount Auburn Street | Cambridge | MA | 2138 | BDC+ | No | Hospital,MOUNT AUBURN HOSPITAL
Southcoast Hospitals Group - St. Luke's Hospital,MA,BDC+,14,Southcoast Hospitals Group - St. Luke's Hospital | 101 Page Street | New Bedford | MA | 02740 | BDC+ | No | Hospital,SOUTHCOAST HOSPITALS GROUP ST LUKE S HOSPITAL
TIDALHEALTH PENINSULA REGIONAL INC,MD,BDC+,14,TIDALHEALTH PENINSULA REGIONAL INC | 100 E CARROLL ST | Salisbury | MD | 21801 | BDC+ | Yes | Hospital,TIDALHEALTH PENINSULA REGIONAL INC
UPPER CHESAPEAKE MEDICAL CENTER,MD,BDC+,14,UPPER CHESAPEAKE MEDICAL CENTER | 500 UPPER CHESAPEAKE DR | Bel Air | MD | 21014 | BDC+ | No | Hospital,UPPER CHESAPEAKE MED CTR
St Joseph Hospital,ME,BDC,14,St Joseph Hospital | 360 Broadway | Bangor | ME | 04401-3979 | BDC | No | Hospital,ST JOSEPH HOSPITAL
Ascension Borgess Hospital,MI,BDC,14,Ascension Borgess Hospital | 1521 GULL RD | Kalamazoo | MI | 49048 | BDC | No | Hospital,ASCENSION BORGESS HOSPITAL
Ascension Providence Hospital-Novi,MI,BDC+,14,Ascension Providence Hospital-Novi | 47601 Grand River | Novi | MI | 48374 | BDC+ | No | Hospital,ASCENSION PROVIDENCE HOSPITAL NOVI
BRONSON METHODIST HOSPITAL,MI,BDC+,14,BRONSON METHODIST HOSPITAL | 601 JOHN ST | Kalamazoo | MI | 49007 | BDC+ | Yes | Hospital,BRONSON METHODIST HOSPITAL
Henry Ford Health St John Hospital,MI,BDC,14,Henry Ford Health St John Hospital | 22101 MOROSS RD | Detroit | MI | 48236 | BDC | No | Hospital,HENRY FORD HEALTH ST JOHN HOSPITAL
Henry Ford Macomb Oakland Hospital,MI,BDC+,15,Henry Ford Macomb Oakland Hospital | 11800 E 12 MILE RD | Warren | MI | 48093 | BDC+ | No | Hospital,HENRY FORD MACOMB OAKLAND HOSPITAL
Henry Ford Providence Hospital,MI,BDC+,15,Henry Ford Providence Hospital | 16001 W 9 MILE RD | Southfield | MI | 48075 | BDC+ | No | Hospital,HENRY FORD PROVIDENCE HOSPITAL
HENRY FORD HOSPITAL,MI,BDC,15,HENRY FORD HOSPITAL | 2799 W Grand Blvd | Detroit | MI | 48202 | BDC | Yes | Hospital,HENRY FORD HOSPITAL
HENRY FORD MACOMB HOSPITAL,MI,BDC,15,HENRY FORD MACOMB HOSPITAL | 15855 19 MILE RD | Clinton Township | MI | 48038 | BDC | No | Hospital,HENRY FORD MACOMB HOSPITAL
HENRY FORD WYANDOTTE HOSPITAL,MI,BDC,15,HENRY FORD WYANDOTTE HOSPITAL | 2333 BIDDLE AVE | Wyandotte | MI | 48192 | BDC | Yes | Hospital,HENRY FORD WYANDOTTE HOSPITAL
METRO HEALTH HOSPITAL,MI,BDC+,15,METRO HEALTH HOSPITAL | 5900 Byron Center Ave SW | Wyoming | MI | 49519 | BDC+ | No | Hospital,METRO HEALTH HOSPITAL
Abbott Northwestern Hospital An Allina Facility,MN,BDC+,15,Abbott Northwestern Hospital An Allina Facility | 800 E 28Th St | Minneapolis | MN | 55407 | BDC+ | No | Hospital,ABBOTT NORTHWESTERN HOSPITAL AN ALLINA FACILITY
Cuyuna Regional Medical Center,MN,BDC+,15,Cuyuna Regional Medical Center | 320 E Main St | Crosby | MN | 56441 | BDC+ | Yes | Hospital,CUYUNA REGIONAL MED CTR
M Health Fairview Ridges Hospital,MN,BDC+,15,M Health Fairview Ridges Hospital | 201 E Nicollet Blvd | Burnsville | MN | 55337 | BDC+ | No | Hospital,M HEALTH FAIRVIEW RIDGES HOSPITAL
