BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Hilton Head Hospital,SC,BDC,21,Hilton Head Hospital | 25 HOSPITAL CENTER BLVD | HILTON HEAD ISLAND | SC | 29926 | BDC | No | Hospital,HILTON HEAD HOSPITAL
Lexington Medical Center,SC,BDC,21,Lexington Medical Center | 2720 Sunset Blvd | West Columbia | SC | 29169 | BDC | No | Hospital,LEXINGTON MED CTR
Medical University Hospital,SC,BDC,21,Medical University Hospital | 169 ASHLEY AVE | CHARLESTON | SC | 29425 | BDC | Yes | Hospital,MEDICAL UNIVERSITY HOSPITAL
MUSC HEALTH COLUMBIA MEDICAL CTR NE,SC,BDC+,21,MUSC HEALTH COLUMBIA MEDICAL CTR NE | 120 GATEWAY CORPORATE BLVD | COLUMBIA | SC | 29203 | BDC+ | Yes | Hospital,MUSC HEALTH COLUMBIA MEDICAL CTR NE
Pelham Medical Center,SC,BDC,21,Pelham Medical Center | 250 WESTMORELAND RD | GREER | SC | 29651 | BDC | Yes | Hospital,PELHAM MED CTR
Piedmont Medical Center,SC,BDC,21,Piedmont Medical Center | 222 Herlong Ave S | Rock Hill | SC | 29732 | BDC | No | Hospital,PIEDMONT MED CTR
Prisma Health Baptist Hospital,SC,BDC,21,Prisma Health Baptist Hospital | 1330 TAYLOR ST | COLUMBIA | SC | 29201 | BDC | No | Hospital,PRISMA HEALTH BAPTIST HOSPITAL
Prisma Health Baptist Parkridge Hospita,SC,BDC+,21,Prisma Health Baptist Parkridge Hospita | 400 PALMETTO HEALTH PKWY | COLUMBIA | SC | 29212 | BDC+ | No | Hospital,PRISMA HEALTH BAPTIST PARKRIDGE HOSPITA
PRISMA HEALTH PATEWOOD HOSP,SC,BDC,22,PRISMA HEALTH PATEWOOD HOSP | 175 PATEWOOD DR | GREENVILLE | SC | 29615 | BDC | No | Hospital,PRISMA HEALTH PATEWOOD HOSP
Rock Hill Hospital Piedmont Medical Net,SC,BDC,22,Rock Hill Hospital Piedmont Medical Net | 1000 Wellness Way | Fort Mill | SC | 29715 | BDC | No | Hospital,ROCK HILL HOSPITAL PIEDMONT MEDICAL NET
Self Regional Healthcare Otpt Svcs,SC,BDC,22,Self Regional Healthcare Otpt Svcs | 1325 SPRING ST | GREENWOOD | SC | 29646 | BDC | Yes | Hospital,SELF REGIONAL HEALTHCARE OTPT SVCS
ST FRANCIS HOSPITAL INC,SC,BDC,22,ST FRANCIS HOSPITAL INC | 1 SAINT FRANCIS DR | GREENVILLE | SC | 29601 | BDC | No | Hospital,ST FRANCIS HOSPITAL INC
Waccamaw Community Hospital,SC,BDC,22,Waccamaw Community Hospital | 4070 Highway 17 | Murrells Inlet | SC | 29576 | BDC | Yes | Hospital,WACCAMAW COMMUNITY HOSPITAL
Sioux Falls Specialty Hospital,SD,BDC+,22,Sioux Falls Specialty Hospital | 910 E 20Th St | Sioux Falls | SD | 57105-1012 | BDC+ | Yes | Hospital,SIOUX FALLS SPECIALTY HOSPITAL
Ascension Saint Thomas Hospital,TN,BDC,22,Ascension Saint Thomas Hospital | 4220 Harding Pike | Nashville | TN | 37205-9998 | BDC | No | Hospital,ASCENSION ST THOMAS HOSPITAL
Ascension Saint Thomas Rutherford Hospital,TN,BDC,22,Ascension Saint Thomas Rutherford Hospital | 1700 Medical Center Pkwy | Murfreesboro | TN | 37129 | BDC | No | Hospital,ASCENSION ST THOMAS RUTHERFORD HOSPITAL
Baptist Memorial Hospital Memphis,TN,BDC,22,Baptist Memorial Hospital Memphis | 1500 W Poplar Ave | Collierville | TN | 38017 | BDC | Yes | Hospital,BAPTIST MEMORIAL HOSPITAL MEMPHIS
Erlanger Health,TN,BDC+,22,Erlanger Health | 975 E 3rd St | CHATTANOOGA | TN | 37403-2147 | BDC+ | Yes | Hospital,ERLANGER HEALTH
Fort Sanders Regional Medical Center,TN,BDC,22,Fort Sanders Regional Medical Center | 1901 W Clinch Ave | Knoxville | TN | 37916 | BDC | No | Hospital,FORT SANDERS REGIONAL MED CTR
Memorial Hospital,TN,BDC+,22,Memorial Hospital | 2525 DeSales Ave | Chattanooga | TN | 37404 | BDC+ | No | Hospital,MEMORIAL HOSPITAL
Methodist Medical Center of Oak Ridge,TN,BDC+,22,Methodist Medical Center of Oak Ridge | 990 Oak Ridge Tpke | Oak Ridge | TN | 37830 | BDC+ | No | Hospital,METHODIST MED CTR OAK RIDGE
Parkridge Medical Center,TN,BDC,22,Parkridge Medical Center | 2333 McCallie Ave | Chattanooga | TN | 37404-9998 | BDC | No | Hospital,PARKRIDGE MED CTR
Parkwest Medical Center,TN,BDC+,22,Parkwest Medical Center | 9352 Park West Blvd | Knoxville | TN | 37923-4387 | BDC+ | No | Hospital,PARKWEST MED CTR
TriStar Stonecrest Medical Center,TN,BDC,22,TriStar Stonecrest Medical Center | 200 StoneCrest Blvd | Smyrna | TN | 37167 | BDC | No | Hospital,TRISTAR STONECREST MED CTR
TriStar Summit Medical Center,TN,BDC,22,TriStar Summit Medical Center | 5655 Frist Blvd | Hermitage | TN | 37076 | BDC | No | Hospital,TRISTAR SUMMIT MED CTR
University of Tennessee Medical Center,TN,BDC+,22,University of Tennessee Medical Center | 1924 Alcoa Hwy | Knoxville | TN | 37920-9998 | BDC+ | No | Hospital,UNIVERSITY TENNESSEE MED CTR
Ascension Seton Hays,TX,BDC,22,Ascension Seton Hays | 6001 KYLE PKWY | KYLE | TX | 78640-6112 | BDC | Yes | Hospital,ASCENSION SETON HAYS
Ascension Seton Med Center Austin,TX,BDC,22,Ascension Seton Med Center Austin | 1201 WEST 38TH STREET | AUSTIN | TX | 78705-0000 | BDC | Yes | Hospital,ASCENSION SETON MED CENTER AUSTIN
ASCENSION PROVIDENCE,TX,BDC+,23,ASCENSION PROVIDENCE | 6901 MEDICAL PKWY | WACO | TX | 76712-7910 | BDC+ | Yes | Hospital,ASCENSION PROVIDENCE
ASCENSION SETON WILLIAMSON,TX,BDC,23,ASCENSION SETON WILLIAMSON | 201 SETON PKWY | ROUND ROCK | TX | 78665-2268 | BDC | Yes | Hospital,ASCENSION SETON WILLIAMSON
B S & W MEDICAL CENTER UPTOWN,TX,BDC+,23,B S & W MEDICAL CENTER UPTOWN | 2727 E Lemmon Ave | Dallas | TX | 75204-2833 | BDC+ | No | Hospital,B S AND W MED CTR UPTOWN
Baylor University Medical Center,TX,BDC,23,Baylor University Medical Center | 3500 GASTON AVE | DALLAS | TX | 75246-2017 | BDC | No | Hospital,BAYLOR UNIVERSITY MED CTR
BAYLOR SURGICAL HOSP LAS COLINAS,TX,BDC,23,BAYLOR SURGICAL HOSP LAS COLINAS | 400 Lyndon B Johnson Fwy | Irving | TX | 75063-3718 | BDC | No | Hospital,BAYLOR SURGICAL HOSP LAS COLINAS
Bs&W Surgical Hospital Fort Worth,TX,BDC,23,Bs&W Surgical Hospital Fort Worth | 1800 PARK PLACE AVE | FORT WORTH | TX | 76110-1302 | BDC | No | Hospital,BS AND W SURGICAL HOSPITAL FORT WORTH
BS&W MEDICAL CENTER FRISCO,TX,BDC,23,BS&W MEDICAL CENTER FRISCO | 5601 Warren Pkwy | Frisco | TX | 75034-4069 | BDC | No | Hospital,BS AND W MED CTR FRISCO
BS&W MEDICAL CENTER MCKINNEY,TX,BDC,23,BS&W MEDICAL CENTER MCKINNEY | 5252 W UNIVERSITY DR | MCKINNEY | TX | 75071-7822 | BDC | No | Hospital,BS AND W MED CTR MCKINNEY
BS&W MEDICAL CENTER ROUND ROCK,TX,BDC+,23,BS&W MEDICAL CENTER ROUND ROCK | 300 UNIVERSITY BLVD | ROUND ROCK | TX | 78665-1032 | BDC+ | No | Hospital,BS AND W MED CTR ROUND ROCK
BS&W TEXAS SPINE & JOINT HOSPITAL,TX,BDC+,23,BS&W TEXAS SPINE & JOINT HOSPITAL | 1814 ROSELAND BLVD | TYLER | TX | 75701-4234 | BDC+ | No | Hospital,BS AND W TEXAS SPINE AND JOINT HOSPITAL
Chi St Lukes Hlth Baylor Coll Med,TX,BDC+,23,Chi St Lukes Hlth Baylor Coll Med | 6720 BERTNER STREET | HOUSTON | TX | 77225-0000 | BDC+ | No | Hospital,CHI ST LUKES HLTH BAYLOR COLL MED
Chi St Lukes The Woodlands Hsptl,TX,BDC,23,Chi St Lukes The Woodlands Hsptl | 17200 ST LUKES WAY | THE WOODLANDS | TX | 77384-0000 | BDC | No | Hospital,CHI ST LUKES WOODLANDS HSPTL
Christus Mother Frances Tyler,TX,BDC+,23,Christus Mother Frances Tyler | 800 East Dawson | Tyler | TX | 75701-0000 | BDC+ | No | Hospital,CHRISTUS MOTHER FRANCES TYLER
DOCTORS HOSPITAL AT RENAISSANCE,TX,BDC+,23,DOCTORS HOSPITAL AT RENAISSANCE | 5501 S MCCOLL ROAD | EDINBURG | TX | 78539-0000 | BDC+ | No | Hospital,DOCTORS HOSPITAL RENAISSANCE
EMINENT MEDICAL CENTER OPERATING,TX,BDC,23,EMINENT MEDICAL CENTER OPERATING | 1351 W Pres George Bush Hwy | Richardson | TX | 75080-1133 | BDC | No | Hospital,EMINENT MED CTR OPERATING
HENDRICK MEDICAL CENTER,TX,BDC+,23,HENDRICK MEDICAL CENTER | 1900 PINE | ABILENE | TX | 79601-0000 | BDC+ | No | Hospital,HENDRICK MED CTR
HOUSTON METHODIST BAYTOWN HOSP,TX,BDC,23,HOUSTON METHODIST BAYTOWN HOSP | 4401 GARTH ROAD | BAYTOWN | TX | 77521-2122 | BDC | No | Hospital,HOUSTON METHODIST BAYTOWN HOSP
HOUSTON METHODIST HOSPITAL,TX,BDC,23,HOUSTON METHODIST HOSPITAL | 6565 Fannin St | Houston | TX | 77030-2703 | BDC | No | Hospital,HOUSTON METHODIST HOSPITAL
HOUSTON METHODIST SUGAR LAND HOSP,TX,BDC,23,HOUSTON METHODIST SUGAR LAND HOSP | 16655 Southwest Fwy | Sugar Land | TX | 77479 | BDC | No | Hospital,HOUSTON METHODIST SUGAR LAND HOSP
HOUSTON METHODIST THE WOODLANDS,TX,BDC,23,HOUSTON METHODIST THE WOODLANDS | 17201 Interstate 45 S | Shenandoah | TX | 77385 | BDC | Yes | Hospital,HOUSTON METHODIST WOODLANDS
HOUSTON METHODIST WEST HOSPITAL,TX,BDC,23,HOUSTON METHODIST WEST HOSPITAL | 18500 Katy Fwy | Houston | TX | 77094 | BDC | No | Hospital,HOUSTON METHODIST WEST HOSPITAL
HOUSTON METHODIST WILLOWBROOK,TX,BDC,23,HOUSTON METHODIST WILLOWBROOK | 18220 STATE HIGHWAY 249 | HOUSTON | TX | 77070-4347 | BDC | Yes | Hospital,HOUSTON METHODIST WILLOWBROOK
Legent Hospital for Special Sx,TX,BDC,24,Legent Hospital for Special Sx | 4100 MAPLESHADE LN | PLANO | TX | 75093-0012 | BDC | Yes | Hospital,LEGENT HOSPITAL FOR SPECIAL SX
LEGENT N HOUSTON SURGICAL HOSP,TX,BDC,24,LEGENT N HOUSTON SURGICAL HOSP | 24429 TOMBALL PKWY | TOMBALL | TX | 77375-8214 | BDC | Yes | Hospital,LEGENT N HOUSTON SURGICAL HOSP
LEGENT ORTHOPEDIC HOSPITAL,TX,BDC,24,LEGENT ORTHOPEDIC HOSPITAL | 1401 E TRINITY MILLS ROAD | CARROLLTON | TX | 75006-1442 | BDC | Yes | Hospital,LEGENT ORTHOPEDIC HOSPITAL
Medical City Dallas,TX,BDC,24,Medical City Dallas | 7777 Forest Ln | Dallas | TX | 75230 | BDC | No | Hospital,MEDICAL CITY DALLAS
MEMORIAL HERMANN SW HOSPITAL,TX,BDC,24,MEMORIAL HERMANN SW HOSPITAL | 7600 BEECHNUT ST | HOUSTON | TX | 77074-4302 | BDC | No | Hospital,MEMORIAL HERMANN SW HOSPITAL
Methodist Richardson Medical Ctr,TX,BDC,24,Methodist Richardson Medical Ctr | 2831 E President George Bush Hwy | Richardson | TX | 75082 | BDC | No | Hospital,METHODIST RICHARDSON MEDICAL CTR
Methodist Southlake Hospital,TX,BDC,24,Methodist Southlake Hospital | 421 E St Highway 114 | Southlake | TX | 76092 | BDC | Yes | Hospital,METHODIST SOUTHLAKE HOSPITAL
METHODIST HOSPITAL FOR SURGERY,TX,BDC,24,METHODIST HOSPITAL FOR SURGERY | 17101 Dallas Parkway | Addison | TX | 75001-7103 | BDC | No | Hospital,METHODIST HOSPITAL FOR SURGERY
METHODIST MANSFIELD MEDICAL CTR,TX,BDC+,24,METHODIST MANSFIELD MEDICAL CTR | 2700 E Broad St | Mansfield | TX | 76063-5899 | BDC+ | Yes | Hospital,METHODIST MANSFIELD MEDICAL CTR
Midland Memorial Hospital,TX,BDC,24,Midland Memorial Hospital | 400 Rosalind Redfern | Midland | TX | 79701-5846 | BDC | No | Hospital,MIDLAND MEMORIAL HOSPITAL
North Central Surgical Center,TX,BDC,24,North Central Surgical Center | 9301 N CENTRAL EXPY STE 100 | DALLAS | TX | 75231-0802 | BDC | No | Hospital,NORTH CENTRAL SURGICAL CENTER
NORTH CENTRAL BAPTIST HOSPITAL,TX,BDC,24,NORTH CENTRAL BAPTIST HOSPITAL | 520 Madison Oak Dr | San Antonio | TX | 78258-0000 | BDC | No | Hospital,NORTH CENTRAL BAPTIST HOSPITAL
PHYSICIANS SURGICAL HOSPITALS LLC,TX,BDC+,24,PHYSICIANS SURGICAL HOSPITALS LLC | 6819 Plum Creek Dr | Amarillo | TX | 79124 | BDC+ | No | Hospital,PHYSICIANS SURGICAL HOSPITALS LLC
SOUTH TEXAS SPINE & SURGICAL HOSP,TX,BDC+,24,SOUTH TEXAS SPINE & SURGICAL HOSP | 18600 N Hardy Oaks Blvd | San Antonio | TX | 78258-0000 | BDC+ | No | Hospital,SOUTH TEXAS SPINE AND SURGICAL HOSP
Texas Health Hospital Frisco,TX,BDC,24,Texas Health Hospital Frisco | 12400 DALLAS PKWY | FRISCO | TX | 75033-4224 | BDC | No | Hospital,TEXAS HEALTH HOSPITAL FRISCO
TEXAS ORTHOPEDIC HOSPITAL,TX,BDC,24,TEXAS ORTHOPEDIC HOSPITAL | 7401 SOUTH MAIN STREET | HOUSTON | TX | 77030-0000 | BDC | No | Hospital,TEXAS ORTHOPEDIC HOSPITAL
Texoma Medical Center,TX,BDC+,24,Texoma Medical Center | 5016 S US Highway 75 | Denison | TX | 75020 | BDC+ | No | Hospital,TEXOMA MED CTR
TX Health Arlington Memorial Hosp,TX,BDC,24,TX Health Arlington Memorial Hosp | 800 WEST RANDOL MILL | ARLINGTON | TX | 76012-2504 | BDC | No | Hospital,TX HEALTH ARLINGTON MEMORIAL HOSP
TX Health Harris Meth Hosp SW Fw,TX,BDC,24,TX Health Harris Meth Hosp SW Fw | 6100 HARRIS PARKWAY | FORT WORTH | TX | 76132-0000 | BDC | No | Hospital,TX HEALTH HARRIS METH HOSP SW FW
TX Health Presby Hosp Rockwall,TX,BDC,25,TX Health Presby Hosp Rockwall | 3150 HORIZON ROAD | ROCKWALL | TX | 75032-7805 | BDC | No | Hospital,TX HEALTH PRESBY HOSP ROCKWALL
TX Hlth Harris Meth Southlake,TX,BDC,25,TX Hlth Harris Meth Southlake | 1545 East Southlake Blvd | Southlake | TX | 76092-6422 | BDC | No | Hospital,TX HLTH HARRIS METH SOUTHLAKE
TX Hlth Presby Hosp Flower Mound,TX,BDC,25,TX Hlth Presby Hosp Flower Mound | 4400 Long Prairie Rd | Flower Mound | TX | 75028-1892 | BDC | No | Hospital,TX HLTH PRESBY HOSP FLOWER MOUND
TX Hlth Presbyterian Hosp Denton,TX,BDC,25,TX Hlth Presbyterian Hosp Denton | 3000 N INTERSTATE 35 | DENTON | TX | 76201-5119 | BDC | No | Hospital,TX HLTH PRESBYTERIAN HOSP DENTON
USMD Hospital at Arlington LP,TX,BDC,25,USMD Hospital at Arlington LP | 801 W Interstate 20 | Arlington | TX | 76017-5851 | BDC | No | Hospital,USMD HOSPITAL ARLINGTON LP
UT Southwestern University Hosp,TX,BDC,25,UT Southwestern University Hosp | 6201 Harry Hines Blvd | Dallas | TX | 75235 | BDC | Yes | Hospital,UT SOUTHWESTERN UNIVERSITY HOSP
Holy Cross Hospital- Jordan Valley,UT,BDC,25,Holy Cross Hospital- Jordan Valley | 3580 W 9000 S | West Jordan | UT | 84088-8812 | BDC | No | Hospital,HOLY CROSS HOSPITAL JORDAN VALLEY
MOUNTAIN POINT MEDICAL CENTER,UT,BDC+,25,MOUNTAIN POINT MEDICAL CENTER | 3000 N Triumph Blvd | Lehi | UT | 84043-4999 | BDC+ | No | Hospital,MOUNTAIN POINT MED CTR
OGDEN REGIONAL MEDICAL CENTER,UT,BDC,25,OGDEN REGIONAL MEDICAL CENTER | 5475 S 500 E | Ogden | UT | 84405-6905 | BDC | No | Hospital,OGDEN REGIONAL MED CTR
UNIVERSITY HOSPITAL,UT,BDC+,25,UNIVERSITY HOSPITAL | 50 N Medical Dr | Salt Lake City | UT | 84132-0001 | BDC+ | Yes | Hospital,UNIVERSITY HOSPITAL
Augusta Health,VA,BDC,25,Augusta Health | 78 Medical Center Dr | FISHERSVILLE | VA | 22939-2332 | BDC | Yes | Hospital,AUGUSTA HEALTH
Bon Secours Maryview Hospital,VA,BDC,25,Bon Secours Maryview Hospital | 3636 High St | Portsmouth | VA | 23707-3236 | BDC | No | Hospital,BON SECOURS MARYVIEW HOSPITAL
Bon Secours St Francis Medical Center,VA,BDC,25,Bon Secours St Francis Medical Center | 13710 St Francis Blvd | Midlothian | VA | 23114-3267 | BDC | No | Hospital,BON SECOURS ST FRANCIS MED CTR
Bon Secours St Marys Hospital of Richmond,VA,BDC,25,Bon Secours St Marys Hospital of Richmond | 5801 Bremo Rd | Richmond | VA | 23226-1907 | BDC | No | Hospital,BON SECOURS ST MARYS HOSPITAL RICHMOND
Bon Secoursmemorial Regional Medical Center,VA,BDC,25,Bon Secoursmemorial Regional Medical Center | 8260 Atlee Rd | Mechanicsvlle | VA | 23116-1844 | BDC | No | Hospital,BON SECOURSMEMORIAL REGIONAL MED CTR
FAIRFAX HOSPITAL,VA,BDC,25,FAIRFAX HOSPITAL | 3300 GALLOWS ROAD | Falls Church | VA | 22042 | BDC | No | Hospital,FAIRFAX HOSPITAL
Martha Jefferson Hospital Sentara,VA,BDC+,25,Martha Jefferson Hospital Sentara | 500 Martha Jefferson Dr | Charlottesville | VA | 22911-4668 | BDC+ | No | Hospital,MARTHA JEFFERSON HOSPITAL SENTARA
Mary Immaculate Hospital,VA,BDC+,25,Mary Immaculate Hospital | 2 Bernardine Dr | Newport News | VA | 23602-4404 | BDC+ | No | Hospital,MARY IMMACULATE HOSPITAL
Potomac Hospital Corporation of Prince William,VA,BDC,25,Potomac Hospital Corporation of Prince William | 2300 Opitz Blvd | Woodbridge | VA | 22191-3311 | BDC | No | Hospital,POTOMAC HOSPITAL CORPORATION PRINCE WILLIAM
Riverside Regional Medical Center,VA,BDC,25,Riverside Regional Medical Center | 500 J Clyde Morris Blvd | Newport News | VA | 23601-1929 | BDC | No | Hospital,RIVERSIDE REGIONAL MED CTR
Sentara Careplex Hospital,VA,BDC,25,Sentara Careplex Hospital | 3000 Coliseum Dr | Hampton | VA | 23666-5963 | BDC | No | Hospital,SENTARA CAREPLEX HOSPITAL
Sentara Obici Hospital,VA,BDC,25,Sentara Obici Hospital | 2800 Godwin Blvd | Suffolk | VA | 23434-8038 | BDC | No | Hospital,SENTARA OBICI HOSPITAL
Sentara Princess Anne Hospital,VA,BDC+,26,Sentara Princess Anne Hospital | 2025 Glenn Mitchell Dr | Virginia Beach | VA | 23456-0178 | BDC+ | No | Hospital,SENTARA PRINCESS ANNE HOSPITAL
Sentara Rmh Medical Center,VA,BDC,26,Sentara Rmh Medical Center | 2010 Health Campus Dr | Harrisonburg | VA | 22801-8679 | BDC | No | Hospital,SENTARA RMH MED CTR
RUTLAND REGIONAL MEDICAL CENTER,VT,BDC,26,RUTLAND REGIONAL MEDICAL CENTER | 160 Allen St | Rutland | VT | 05701-0000 | BDC | No | Hospital,RUTLAND REGIONAL MED CTR
Harborview Medical Center,WA,BDC,26,Harborview Medical Center | 325 9th Ave | Seattle | WA | 98104-2420 | BDC | Yes | Hospital,HARBORVIEW MED CTR
KING COUNTY PUBLIC HOSPITAL,WA,BDC+,26,KING COUNTY PUBLIC HOSPITAL | 12040 NE 128Th St | Kirkland | WA | 98034-3013 | BDC+ | No | Hospital,KING COUNTY PUBLIC HOSPITAL
LEGACY SALMON CREEK HOSPITAL,WA,BDC,26,LEGACY SALMON CREEK HOSPITAL | 2211 NE 139Th St | Vancouver | WA | 98686-2742 | BDC | No | Hospital,LEGACY SALMON CREEK HOSPITAL
University of Washington Medical Center,WA,BDC,26,University of Washington Medical Center | 1959 NE Pacific St | Seattle | WA | 98195-0001 | BDC | Yes | Hospital,UNIVERSITY WASHINGTON MED CTR
University of Washington Medical Center,WA,BDC+,26,University of Washington Medical Center | 1959 NE Pacific St | Seattle | WA | 98195-0001 | BDC+ | Yes | Hospital,UNIVERSITY WASHINGTON MED CTR
UW MEDICAL CENTER NORTHWEST,WA,BDC,26,UW MEDICAL CENTER NORTHWEST | 1550 N 115Th St | Seattle | WA | 98133-8401 | BDC | Yes | Hospital,UW MED CTR NORTHWEST
UW MEDICAL CENTER NORTHWEST,WA,BDC+,26,UW MEDICAL CENTER NORTHWEST | 1550 N 115Th St | Seattle | WA | 98133-8401 | BDC+ | No | Hospital,UW MED CTR NORTHWEST
Valley Medical Center,WA,BDC+,26,Valley Medical Center | 400 S 43Rd St | Renton | WA | 98055-5714 | BDC+ | No | Hospital,VALLEY MED CTR
Aurora Baycare Medical Center,WI,BDC,26,Aurora Baycare Medical Center | 2845 Greenbrier Rd | Green Bay | WI | 54311-6519 | BDC | No | Hospital,AURORA BAYCARE MED CTR
Aurora Health Care Metro,WI,BDC,26,Aurora Health Care Metro | 945 N 12th St | Milwaukee | WI | 53233-1305 | BDC | No | Hospital,AURORA HEALTH CARE METRO
Aurora Medical Center,WI,BDC,26,Aurora Medical Center | 10400 75th St | Kenosha | WI | 53142-7884 | BDC | No | Hospital,AURORA MED CTR
Aurora Medical Center Grafton,WI,BDC,26,Aurora Medical Center Grafton | 975 Port Washington Rd | Grafton | WI | 53024-9201 | BDC | No | Hospital,AURORA MED CTR GRAFTON
Aurora Medical Center Oshkosh,WI,BDC+,26,Aurora Medical Center Oshkosh | 855 N Westhaven Dr | Oshkosh | WI | 54904-7668 | BDC+ | No | Hospital,AURORA MED CTR OSHKOSH
Aurora Medical Center Summit,WI,BDC,26,Aurora Medical Center Summit | 36500 Aurora Dr | Summit | WI | 53066-4899 | BDC | No | Hospital,AURORA MED CTR SUMMIT
Aurora Medical Center Washington County,WI,BDC,26,Aurora Medical Center Washington County | 1032 E Sumner St | Hartford | WI | 53027-1608 | BDC | No | Hospital,AURORA MED CTR WASHINGTON COUNTY
Aurora Sheboygan Memorial Medical Center,WI,BDC,26,Aurora Sheboygan Memorial Medical Center | 3400 Union Ave | Sheboygan | WI | 53081-8426 | BDC | No | Hospital,AURORA SHEBOYGAN MEMORIAL MED CTR
Aurora St Lukes Medical Center,WI,BDC,26,Aurora St Lukes Medical Center | 2900 W Oklahoma Ave | Milwaukee | WI | 53215-4330 | BDC | No | Hospital,AURORA ST LUKES MED CTR
Aurora West Allis Medical Ctr,WI,BDC,26,Aurora West Allis Medical Ctr | 8901 W Lincoln Ave | West Allis | WI | 53227-2409 | BDC | No | Hospital,AURORA WEST ALLIS MEDICAL CTR
Community Memorial Hospital,WI,BDC,27,Community Memorial Hospital | W180N8085 Town Hall Rd | Menomonee Falls | WI | 53051-3518 | BDC | No | Hospital,COMMUNITY MEMORIAL HOSPITAL
Mayo Clinic Health System,WI,BDC,27,Mayo Clinic Health System | 700 West Ave S | La Crosse | WI | 54601-4783 | BDC | No | Hospital,MAYO CLINIC
Mchs Eau Claire Luther Campus,WI,BDC,27,Mchs Eau Claire Luther Campus | 1221 Whipple St | Eau Claire | WI | 54703-5270 | BDC | No | Hospital,MCHS EAU CLAIRE LUTHER CAMPUS
Uw Health University Hospital,WI,BDC,27,Uw Health University Hospital | 4602 Eastpark Blvd | Madison | WI | 53718-2002 | BDC | Yes | Hospital,UW HEALTH UNIVERSITY HOSPITAL
Berkeley Medical Center,WV,BDC+,27,Berkeley Medical Center | 2500 Hospital Drive | Martinsburg | WV | 25401 | BDC+ | No | Hospital,BERKELEY MED CTR
United Hospital Center,WV,BDC+,27,United Hospital Center | 327 MEDICAL PARK DRIVE | BRIDGEPORT | WV | 26330 | BDC+ | Yes | Hospital,UNITED HOSPITAL CENTER
West Virginia University Hospitals Inc,WV,BDC,27,West Virginia University Hospitals Inc | 1 Medical Center Drive | Morgantown | WV | 26506 | BDC | Yes | Hospital,WEST VIRGINIA UNIVERSITY HOSPITALS INC
Wheeling Hospital Inc,WV,BDC+,27,Wheeling Hospital Inc | 1 Medical Park | Wheeling | WV | 26003 | BDC+ | Yes | Hospital,WHEELING HOSPITAL INC
